"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,4,"rpodcast","02:40:415",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,5,"TwoD","02:43:013",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,6,"bigpod","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,7,"madhens","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,1,"rpodcast","03:22:465",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,2,"Wimpy","03:22:515",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,3,"TwoD","03:23:003",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,4,"bigpod","03:23:051",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,5,"bigcalm","03:23:750",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,6,"madhens","03:25:093",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
